URLs,Reservations Open,Fully Booked,Available Hotels,Error Message
https://book.passkey.com/event/50807735/owner/107/landing,Yes,No,1,
https://book.passkey.com/go/IBIE2025,Yes,No,1,
https://book.passkey.com/gt/219735071?gtid=920182c349b4be599721f670ec4cc0c5&index=91,Yes,No,1,
https://book.passkey.com/event/50875535/owner/56365/home,Yes,No,1,
https://book.passkey.com/event/50506125/owner/16066798/home,Yes,No,1,
https://book.passkey.com/event/50812505/owner/250/landing,No,,,
https://book.passkey.com/go/1124STPA001,Yes,Yes,,
https://book.passkey.com/event/50849651/owner/2075/home,Yes,Yes,,
https://book.passkey.com/event/50844465/owner/4374/home,Yes,No,1,
https://book.passkey.com/event/50755155/owner/4374/home,Yes,No,1,
https://book.passkey.com/go/AMEBC2025,Yes,No,1,
https://book.passkey.com/event/50660017/owner/2075/home,No,,,
https://book.passkey.com/e/50803499,Yes,No,1,
https://book.passkey.com/gt/220167256?gtid=cb66a7f2898328a772cb53d840e10353,Yes,No,1,
https://book.passkey.com/gt/220162786?gtid=771d57f3c7244db795b82b682bca7bd1,Yes,No,1,
https://book.passkey.com/go/SSHOP0325NY,Yes,No,1,
https://book.passkey.com/gt/219615585?gtid=f97969db4086395382762ce5b6f3f099,Yes,No,1,
https://book.passkey.com/event/50837941/owner/28588/home,Yes,No,1,
https://book.passkey.com/e/50829139,Yes,No,1,
https://book.passkey.com/go/7c948e87,No,,,
https://book.passkey.com/event/50859522/owner/49527047/home,Yes,No,1,
https://book.passkey.com/gt/219670581?gtid=580cde2ae3812ff208161f018c10aa42,Yes,No,1,
https://book.passkey.com/event/50825000/owner/1482103/home,Yes,No,3,
https://book.passkey.com/event/50821645/owner/1482103/home,Yes,No,3,
https://book.passkey.com/e/50823346,Yes,No,1,
https://book.passkey.com/gt/219615585?gtid=f97969db4086395382762ce5b6f3f099,Yes,No,1,
https://book.passkey.com/event/50726358/owner/12511619/home?&mode=find-res,No,,,
https://book.passkey.com/e/50479447,No,,,
https://book.passkey.com/go/UKSG2024,No,,,
https://book.passkey.com/go/UKKISACORESEARCHPLNP2024,Yes,No,1,
https://book.passkey.com/go/KisacoAloft,Yes,No,1,
https://book.passkey.com/gt/219674105?gtid=e3e5b0af93b120d8bfe786dd78d1b692,Yes,Yes,,
https://book.passkey.com/gt/220233267?gtid=6d46ef96a7632f58b3b2813a3d716db2,Yes,No,1,
https://book.passkey.com/go/FierceBiotech2024,No,,,
https://book.passkey.com/event/50795958/owner/52950/home,Yes,No,1,
https://book.passkey.com/go/SCABDAE,Yes,No,1,
https://book.passkey.com/e/50830397,Yes,No,1,
https://book.passkey.com/go/CCMENationalSymposium2025,Yes,No,1,
https://book.passkey.com/gt/219112004?gtid=53e807138589d3da9c97516d564a2e8,No,,,
http://book.passkey.com/go/CADA2025,No,,,
https://book.passkey.com/e/50836193,Yes,No,1,
https://book.passkey.com/event/50726286/owner/210/home,Yes,No,1,
https://book.passkey.com/event/50726286/owner/210/home,Yes,No,1,
https://book.passkey.com/event/50759193/owner/1464965/home,Yes,No,1,
https://book.passkey.com/event/50730425/owner/3958/home,No,,,
